happy,year,age,sex,marital,degree,finrela,health,wtssall
very happy,1972,58,female,married,high school,above average,excellent,0.8893
pretty happy,1972,35,female,married,lt high school,average,good,0.8893
not too happy,1972,58,male,never married,lt high school,average,fair,0.4446
pretty happy,1972,51,female,married,high school,below average,good,0.8893
very happy,1972,76,female,widowed,lt high school,below average,excellent,0.4446
not too happy,1972,53,male,married,high school,average,fair,0.8893
pretty happy,1972,39,male,married,lt high school,below average,good,0.8893
very happy,1972,64,female,married,lt high school,average,good,0.8893
pretty happy,1972,50,female,married,lt high school,average,good,1.3339
very happy,1972,27,female,married,high school,average,excellent,0.8893
pretty happy,1972,25,male,never married,high school,average,good,1.3339
pretty happy,1972,49,male,married,high school,average,good,1.3339
very happy,1972,40,male,married,lt high school,average,excellent,0.8893
pretty happy,1972,43,male,married,lt high school,average,good,1.3339
pretty happy,1972,46,male,married,lt high school,average,good,1.3339
very happy,1972,37,male,married,high school,below average,good,0.8893
very happy,1972,46,male,married,lt high school,average,good,0.8893
very happy,1972,22,female,married,high school,average,excellent,0.8893
very happy,1972,53,female,married,lt high school,average,excellent,2.2232
pretty happy,1972,35,male,married,high school,average,excellent,0.8893
pretty happy,1972,31,female,married,high school,above average,good,0.8893
pretty happy,1972,30,female,married,high school,average,good,0.8893
very happy,1972,37,female,married,high school,average,good,0.8893
very happy,1972,57,female,married,lt high school,average,good,0.8893
very happy,1972,39,male,married,high school,below average,good,0.8893
pretty happy,1972,62,female,married,lt high school,average,fair,1.3339
pretty happy,1972,51,male,married,high school,below average,fair,1.3339
pretty happy,1972,43,male,married,lt high school,average,excellent,0.8893
very happy,1972,39,male,married,high school,average,excellent,0.8893
pretty happy,1972,52,female,married,lt high school,average,poor,0.8893
pretty happy,1972,30,male,married,high school,average,excellent,0.8893
very happy,1972,47,female,married,high school,average,fair,0.8893
pretty happy,1972,31,female,never married,high school,average,good,0.8893
pretty happy,1972,25,male,married,bachelor,below average,excellent,0.8893
pretty happy,1972,45,male,married,lt high school,above average,good,0.8893
pretty happy,1972,30,female,married,high school,average,excellent,0.8893
pretty happy,1972,68,male,married,lt high school,average,fair,0.8893
not too happy,1972,63,female,married,lt high school,average,excellent,0.8893
pretty happy,1972,19,male,never married,high school,average,good,1.7786
pretty happy,1972,23,male,never married,bachelor,average,excellent,0.8893
pretty happy,1972,46,female,married,lt high school,above average,fair,1.3339
not too happy,1972,55,female,widowed,lt high school,average,excellent,0.8893
very happy,1972,22,male,never married,high school,above average,good,1.7786
pretty happy,1972,55,female,never married,high school,above average,fair,0.8893
pretty happy,1972,44,male,married,lt high school,average,fair,1.7786
pretty happy,1972,41,female,married,high school,average,good,0.8893
very happy,1972,49,male,divorced,high school,far above average,excellent,0.4446
very happy,1972,28,female,married,high school,NA,fair,0.8893
pretty happy,1972,21,male,never married,high school,average,good,0.8893
very happy,1972,26,male,married,bachelor,average,excellent,0.8893
pretty happy,1972,31,female,married,graduate,below average,good,0.8893
pretty happy,1972,28,female,never married,graduate,average,excellent,1.3339
very happy,1972,26,male,married,bachelor,above average,excellent,0.8893
pretty happy,1972,20,female,never married,high school,average,good,0.8893
very happy,1972,25,male,married,bachelor,above average,excellent,0.8893
pretty happy,1972,57,female,married,high school,average,fair,1.3339
pretty happy,1972,58,female,married,high school,above average,good,1.3339
very happy,1972,54,male,married,high school,above average,good,0.8893
very happy,1972,35,female,married,bachelor,average,good,0.8893
very happy,1972,40,male,married,high school,average,excellent,0.8893
very happy,1972,57,male,married,high school,average,fair,1.3339
very happy,1972,64,female,married,high school,average,excellent,0.8893
very happy,1972,34,male,married,high school,average,excellent,0.8893
pretty happy,1972,25,female,married,high school,average,fair,0.8893
very happy,1972,28,male,married,lt high school,average,good,1.3339
pretty happy,1972,41,male,married,high school,average,good,0.8893
very happy,1972,36,female,married,high school,average,good,0.8893
very happy,1972,31,male,married,high school,above average,excellent,0.8893
pretty happy,1972,45,male,married,high school,average,fair,0.8893
pretty happy,1972,74,female,married,lt high school,average,fair,0.8893
pretty happy,1972,64,female,divorced,high school,above average,good,0.4446
pretty happy,1972,23,female,never married,high school,below average,excellent,0.4446
very happy,1972,27,female,divorced,bachelor,above average,excellent,0.4446
not too happy,1972,42,male,divorced,high school,far below average,fair,0.4446
not too happy,1972,47,male,divorced,lt high school,below average,good,0.4446
pretty happy,1972,26,male,never married,high school,above average,good,0.8893
pretty happy,1972,34,female,married,lt high school,below average,fair,0.8893
pretty happy,1972,52,male,married,lt high school,average,excellent,0.8893
pretty happy,1972,24,male,divorced,high school,average,excellent,1.7786
pretty happy,1972,36,female,separated,high school,below average,good,0.4446
pretty happy,1972,25,male,married,lt high school,above average,good,0.8893
not too happy,1972,46,female,separated,lt high school,far below average,excellent,1.3339
pretty happy,1972,54,female,married,lt high school,average,good,1.7786
pretty happy,1972,27,female,separated,high school,below average,fair,0.4446
pretty happy,1972,20,female,never married,lt high school,average,good,0.4446
very happy,1972,53,male,married,lt high school,average,fair,1.3339
not too happy,1972,47,male,married,lt high school,below average,poor,2.6679
very happy,1972,70,male,widowed,lt high school,average,fair,1.3339
very happy,1972,69,female,married,lt high school,average,good,1.7786
pretty happy,1972,49,female,married,lt high school,average,good,0.8893
pretty happy,1972,29,female,married,bachelor,average,excellent,0.8893
not too happy,1972,48,female,married,high school,average,good,1.3339
pretty happy,1972,67,female,married,lt high school,average,poor,0.8893
not too happy,1972,22,male,divorced,high school,average,excellent,1.3339
not too happy,1972,75,male,married,lt high school,average,poor,0.8893
pretty happy,1972,38,male,married,high school,average,good,0.8893
pretty happy,1972,46,male,married,high school,average,good,1.3339
very happy,1972,63,female,married,lt high school,below average,excellent,0.8893
pretty happy,1972,34,female,married,lt high school,below average,good,0.8893
pretty happy,1972,57,male,married,lt high school,average,good,0.8893
pretty happy,1972,22,female,never married,high school,average,excellent,0.4446
very happy,1972,46,male,married,lt high school,above average,good,0.8893
pretty happy,1972,73,female,married,lt high school,average,fair,0.8893
pretty happy,1972,73,male,married,high school,below average,fair,0.8893
pretty happy,1972,53,male,married,high school,average,fair,0.8893
pretty happy,1972,84,female,widowed,high school,average,fair,0.4446
not too happy,1972,27,male,married,high school,average,fair,0.8893
pretty happy,1972,69,female,divorced,lt high school,below average,fair,0.4446
pretty happy,1972,82,female,widowed,lt high school,below average,poor,0.4446
pretty happy,1972,67,female,never married,bachelor,above average,good,0.4446
pretty happy,1972,41,male,married,high school,above average,good,0.8893
pretty happy,1972,72,male,divorced,lt high school,below average,fair,0.4446
pretty happy,1972,38,male,married,lt high school,average,good,0.8893
very happy,1972,59,female,married,high school,average,fair,0.8893
very happy,1972,42,male,married,high school,above average,excellent,0.8893
pretty happy,1972,48,male,married,high school,average,good,1.3339
very happy,1972,59,female,married,lt high school,below average,excellent,0.8893
pretty happy,1972,39,female,married,lt high school,average,fair,0.8893
pretty happy,1972,49,female,married,high school,below average,fair,0.8893
pretty happy,1972,33,female,married,high school,average,good,0.8893
pretty happy,1972,53,female,widowed,lt high school,below average,good,0.4446
very happy,1972,30,female,married,high school,average,excellent,0.8893
pretty happy,1972,25,male,married,high school,below average,good,0.8893
pretty happy,1972,36,female,divorced,lt high school,far below average,good,0.8893
pretty happy,1972,30,male,married,high school,above average,fair,0.8893
pretty happy,1972,28,male,married,lt high school,below average,good,0.8893
pretty happy,1972,52,male,married,lt high school,average,good,0.8893
very happy,1972,44,male,married,lt high school,above average,excellent,0.8893
pretty happy,1972,50,male,never married,graduate,far below average,poor,0.4446
very happy,1972,38,female,separated,bachelor,NA,excellent,0.4446
pretty happy,1972,26,male,never married,bachelor,average,good,0.8893
very happy,1972,28,female,married,high school,below average,excellent,1.3339
very happy,1972,81,female,married,high school,average,good,0.8893
very happy,1972,55,female,married,high school,average,excellent,0.8893
very happy,1972,76,male,married,lt high school,above average,excellent,0.8893
pretty happy,1972,29,male,married,high school,above average,excellent,0.8893
very happy,1972,19,male,never married,lt high school,below average,good,1.3339
pretty happy,1972,76,female,never married,lt high school,average,excellent,0.8893
pretty happy,1972,61,male,never married,graduate,above average,excellent,0.4446
pretty happy,1972,26,male,married,bachelor,average,excellent,0.8893
pretty happy,1972,39,female,divorced,high school,average,excellent,0.4446
not too happy,1972,19,male,never married,lt high school,below average,good,0.8893
very happy,1972,26,female,married,bachelor,below average,good,0.8893
pretty happy,1972,21,female,never married,high school,average,fair,0.4446
very happy,1972,45,female,married,lt high school,average,fair,1.3339
pretty happy,1972,27,female,married,high school,far below average,good,0.8893
very happy,1972,76,male,widowed,lt high school,below average,excellent,0.4446
pretty happy,1972,63,female,widowed,lt high school,below average,good,1.3339
pretty happy,1972,52,male,married,lt high school,average,good,1.3339
pretty happy,1972,65,male,married,lt high school,average,good,1.3339
not too happy,1972,59,male,married,lt high school,far below average,fair,2.2232
pretty happy,1972,26,male,never married,high school,above average,excellent,1.3339
very happy,1972,41,female,married,bachelor,far above average,good,0.8893
pretty happy,1972,56,male,married,graduate,above average,excellent,0.8893
not too happy,1972,62,male,married,high school,above average,excellent,0.8893
very happy,1972,29,male,married,graduate,above average,excellent,0.8893
very happy,1972,25,female,married,bachelor,average,excellent,0.8893
very happy,1972,41,female,married,high school,above average,good,0.8893
pretty happy,1972,21,female,never married,lt high school,average,good,1.3339
pretty happy,1972,49,female,divorced,high school,average,good,0.8893
very happy,1972,38,male,married,lt high school,above average,excellent,0.8893
very happy,1972,50,male,married,high school,average,excellent,0.8893
pretty happy,1972,43,male,married,high school,average,excellent,0.8893
pretty happy,1972,32,male,married,high school,average,excellent,0.8893
pretty happy,1972,55,female,divorced,high school,average,excellent,0.4446
very happy,1972,27,female,married,junior college,average,good,0.8893
pretty happy,1972,56,male,married,high school,above average,fair,1.3339
very happy,1972,48,female,married,lt high school,average,excellent,0.8893
pretty happy,1972,56,male,married,lt high school,below average,good,1.3339
very happy,1972,44,female,married,lt high school,average,poor,0.8893
pretty happy,1972,25,female,divorced,lt high school,below average,fair,0.4446
pretty happy,1972,32,male,married,lt high school,average,good,0.8893
very happy,1972,33,female,married,high school,above average,excellent,0.8893
very happy,1972,48,male,married,lt high school,average,excellent,0.8893
pretty happy,1972,45,male,married,high school,below average,excellent,0.8893
not too happy,1972,45,female,widowed,lt high school,below average,fair,0.8893
very happy,1972,72,male,married,lt high school,average,fair,0.8893
pretty happy,1972,45,female,separated,lt high school,below average,fair,0.8893
not too happy,1972,70,female,separated,lt high school,below average,fair,0.8893
pretty happy,1972,31,female,married,high school,average,good,0.8893
pretty happy,1972,20,male,never married,high school,below average,good,1.3339
pretty happy,1972,22,female,separated,lt high school,below average,good,0.4446
pretty happy,1972,63,male,married,lt high school,below average,poor,0.8893
pretty happy,1972,70,male,married,lt high school,average,fair,0.8893
very happy,1972,68,male,married,lt high school,average,good,0.8893
very happy,1972,43,female,married,high school,average,excellent,0.8893
pretty happy,1972,53,female,married,graduate,average,excellent,0.8893
pretty happy,1972,44,female,married,high school,average,good,0.8893
pretty happy,1972,37,female,married,high school,average,excellent,0.8893
pretty happy,1972,55,male,married,high school,average,good,2.6679
very happy,1972,52,male,married,high school,below average,good,0.8893
pretty happy,1972,64,male,married,lt high school,above average,excellent,0.8893
pretty happy,1972,NA,male,married,high school,average,excellent,0.8893
pretty happy,1972,64,male,never married,lt high school,average,good,0.8893
pretty happy,1972,27,female,never married,bachelor,average,excellent,1.3339
very happy,1972,28,male,married,high school,average,excellent,0.8893
pretty happy,1972,22,male,never married,high school,below average,good,1.7786
very happy,1972,61,female,married,high school,above average,fair,0.8893
not too happy,1972,82,female,widowed,high school,average,good,0.4446
very happy,1972,22,male,never married,high school,below average,good,1.3339
very happy,1972,30,female,married,lt high school,above average,fair,0.8893
very happy,1972,29,female,married,high school,average,excellent,0.8893
very happy,1972,60,male,married,lt high school,below average,fair,0.8893
very happy,1972,39,female,married,lt high school,average,good,0.8893
pretty happy,1972,21,female,married,lt high school,far below average,good,0.8893
pretty happy,1972,56,male,married,lt high school,average,fair,1.7786
pretty happy,1972,72,male,married,lt high school,average,good,0.8893
pretty happy,1972,61,male,married,lt high school,below average,poor,0.8893
pretty happy,1972,71,male,divorced,graduate,above average,excellent,0.4446
not too happy,1972,56,female,married,lt high school,below average,poor,0.8893
very happy,1972,71,female,married,lt high school,average,excellent,0.8893
very happy,1972,48,male,married,high school,above average,excellent,0.8893
very happy,1972,43,female,married,high school,above average,fair,0.8893
very happy,1972,61,female,never married,high school,average,good,0.4446
pretty happy,1972,70,male,married,high school,average,excellent,0.8893
very happy,1972,48,female,separated,lt high school,below average,good,0.4446
very happy,1972,34,female,married,high school,average,good,0.8893
not too happy,1972,19,male,never married,high school,below average,good,1.7786
very happy,1972,52,female,married,lt high school,average,fair,0.8893
not too happy,1972,30,male,married,high school,above average,excellent,0.8893
pretty happy,1972,60,male,married,high school,above average,good,1.3339
pretty happy,1972,50,male,married,bachelor,average,good,0.8893
pretty happy,1972,47,female,widowed,high school,average,excellent,1.3339
pretty happy,1972,50,female,married,lt high school,average,poor,0.8893
pretty happy,1972,68,female,married,lt high school,below average,good,0.8893
very happy,1972,50,male,divorced,high school,above average,excellent,0.4446
not too happy,1972,21,male,separated,lt high school,far below average,fair,0.4446
pretty happy,1972,72,female,married,lt high school,far below average,good,0.8893
not too happy,1972,52,male,married,high school,below average,good,0.8893
very happy,1972,32,female,married,high school,above average,good,1.3339
very happy,1972,52,male,married,high school,above average,good,0.8893
very happy,1972,60,female,never married,high school,average,fair,0.8893
pretty happy,1972,32,male,married,lt high school,below average,good,0.8893
pretty happy,1972,60,female,widowed,lt high school,below average,good,0.4446
pretty happy,1972,80,female,widowed,lt high school,average,fair,0.4446
pretty happy,1972,58,male,married,lt high school,average,good,0.8893
pretty happy,1972,36,female,married,high school,average,good,0.8893
pretty happy,1972,31,female,married,high school,average,good,0.8893
very happy,1972,30,male,married,bachelor,average,good,0.8893
very happy,1972,63,male,married,high school,above average,good,0.8893
pretty happy,1972,34,male,married,high school,average,good,0.8893
pretty happy,1972,29,female,married,high school,above average,good,0.8893
not too happy,1972,36,female,married,lt high school,below average,fair,0.8893
pretty happy,1972,39,female,married,high school,average,excellent,0.8893
not too happy,1972,73,male,married,lt high school,below average,poor,1.3339
not too happy,1972,38,male,married,lt high school,average,excellent,0.8893
pretty happy,1972,55,male,married,high school,below average,good,1.7786
pretty happy,1972,30,male,married,high school,average,good,0.8893
very happy,1972,44,female,married,high school,below average,fair,1.3339
pretty happy,1972,43,female,married,lt high school,average,good,0.8893
not too happy,1972,38,male,married,lt high school,above average,excellent,0.8893
pretty happy,1972,44,female,married,high school,average,excellent,1.3339
pretty happy,1972,75,female,widowed,lt high school,below average,good,0.4446
very happy,1972,43,male,married,graduate,far above average,excellent,0.8893
pretty happy,1972,43,female,married,lt high school,average,good,1.3339
very happy,1972,27,male,married,high school,average,good,0.8893
very happy,1972,58,male,married,lt high school,average,fair,1.3339
very happy,1972,45,male,married,high school,average,good,2.2232
very happy,1972,31,male,married,high school,average,excellent,0.8893
very happy,1972,23,female,married,high school,average,good,0.8893
very happy,1972,69,male,widowed,lt high school,average,good,0.4446
pretty happy,1972,35,female,separated,lt high school,average,good,0.4446
pretty happy,1972,43,female,widowed,high school,average,good,0.4446
not too happy,1972,56,female,married,lt high school,below average,good,0.8893
not too happy,1972,36,female,separated,high school,below average,fair,0.4446
very happy,1972,47,female,married,lt high school,average,excellent,2.2232
pretty happy,1972,29,male,married,high school,below average,good,0.8893
pretty happy,1972,60,male,married,high school,average,good,0.8893
very happy,1972,37,female,married,lt high school,average,good,0.8893
very happy,1972,20,male,married,high school,average,good,0.8893
pretty happy,1972,55,female,married,lt high school,average,fair,1.3339
pretty happy,1972,71,female,widowed,lt high school,far below average,poor,0.8893
pretty happy,1972,30,male,married,high school,average,good,0.8893
pretty happy,1972,59,female,married,lt high school,far above average,poor,0.8893
very happy,1972,42,female,separated,high school,above average,excellent,0.8893
very happy,1972,55,female,separated,high school,average,fair,0.8893
not too happy,1972,24,male,married,high school,average,fair,0.8893
not too happy,1972,30,male,separated,lt high school,far above average,good,0.8893
very happy,1972,70,male,never married,lt high school,below average,good,0.4446
pretty happy,1972,43,female,widowed,lt high school,average,fair,0.4446
not too happy,1972,45,male,married,lt high school,average,good,0.8893
pretty happy,1972,25,male,married,bachelor,average,good,0.8893
not too happy,1972,37,female,divorced,lt high school,far below average,excellent,0.4446
pretty happy,1972,22,male,never married,high school,above average,good,1.3339
not too happy,1972,27,female,never married,lt high school,below average,excellent,1.7786
pretty happy,1972,28,female,never married,graduate,average,excellent,0.8893
very happy,1972,42,male,divorced,high school,above average,excellent,0.8893
pretty happy,1972,42,female,never married,lt high school,below average,excellent,0.8893
pretty happy,1972,30,male,married,high school,above average,excellent,0.8893
pretty happy,1972,40,female,married,high school,above average,good,1.3339
very happy,1972,37,male,married,graduate,above average,good,0.8893
pretty happy,1972,24,female,never married,bachelor,above average,excellent,1.7786
very happy,1972,46,male,married,high school,above average,excellent,0.8893
pretty happy,1972,53,female,married,high school,average,good,1.3339
pretty happy,1972,64,male,married,high school,below average,fair,1.3339
very happy,1972,20,female,married,high school,above average,excellent,0.8893
very happy,1972,60,male,married,lt high school,average,good,0.8893
pretty happy,1972,33,male,married,bachelor,above average,excellent,0.8893
pretty happy,1972,70,female,never married,bachelor,average,good,0.8893
very happy,1972,60,male,married,lt high school,average,fair,0.8893
very happy,1972,26,female,married,lt high school,average,excellent,0.8893
not too happy,1972,74,female,widowed,lt high school,below average,fair,1.3339
very happy,1972,33,female,married,lt high school,average,good,0.8893
pretty happy,1972,23,female,married,lt high school,below average,fair,0.8893
pretty happy,1972,19,male,never married,lt high school,average,good,0.8893
not too happy,1972,59,female,married,lt high school,below average,good,0.8893
pretty happy,1972,70,female,married,lt high school,average,fair,0.8893
pretty happy,1972,52,male,married,lt high school,below average,fair,1.7786
not too happy,1972,NA,female,widowed,lt high school,far below average,poor,0.4446
very happy,1972,75,male,widowed,lt high school,average,poor,0.4446
very happy,1972,49,female,married,lt high school,above average,fair,0.8893
pretty happy,1972,49,male,married,lt high school,below average,good,0.8893
pretty happy,1972,46,male,married,lt high school,average,good,0.8893
pretty happy,1972,45,female,widowed,high school,average,excellent,0.4446
pretty happy,1972,28,female,never married,bachelor,average,excellent,0.4446
not too happy,1972,23,male,married,high school,average,fair,1.3339
pretty happy,1972,64,male,married,high school,average,good,0.8893
pretty happy,1972,33,female,married,high school,below average,good,0.8893
very happy,1972,69,female,married,lt high school,above average,fair,0.8893
pretty happy,1972,72,male,married,lt high school,average,excellent,1.3339
pretty happy,1972,59,male,married,lt high school,average,good,0.8893
very happy,1972,69,female,married,lt high school,average,good,0.8893
pretty happy,1972,58,female,married,lt high school,average,good,0.8893
pretty happy,1972,53,male,divorced,lt high school,below average,fair,1.7786
very happy,1972,62,male,widowed,lt high school,average,fair,0.4446
pretty happy,1972,58,male,married,lt high school,below average,good,0.8893
pretty happy,1972,32,female,married,high school,below average,good,0.8893
pretty happy,1972,58,female,married,high school,average,fair,0.8893
pretty happy,1972,70,female,married,high school,average,fair,0.8893
pretty happy,1972,69,male,married,lt high school,below average,good,0.8893
pretty happy,1972,36,male,married,lt high school,above average,excellent,0.8893
pretty happy,1972,47,male,married,lt high school,average,fair,0.8893
pretty happy,1972,31,male,married,lt high school,average,excellent,0.8893
pretty happy,1972,81,female,widowed,lt high school,below average,fair,1.7786
pretty happy,1972,24,male,married,high school,average,good,0.8893
pretty happy,1972,51,female,married,high school,average,fair,1.7786
not too happy,1972,69,female,widowed,lt high school,far below average,poor,0.4446
very happy,1972,30,female,married,high school,below average,good,0.8893
pretty happy,1972,69,male,never married,lt high school,far below average,fair,1.7786
not too happy,1972,45,male,married,lt high school,average,fair,1.3339
pretty happy,1972,24,male,married,high school,average,good,0.8893
very happy,1972,66,male,married,lt high school,average,good,0.8893
not too happy,1972,29,female,married,high school,below average,good,0.8893
not too happy,1972,57,female,married,lt high school,average,good,2.2232
very happy,1972,58,male,married,lt high school,average,excellent,0.8893
pretty happy,1972,77,male,widowed,lt high school,below average,fair,0.4446
very happy,1972,30,female,married,graduate,average,excellent,0.8893
pretty happy,1972,56,female,widowed,high school,below average,good,0.4446
pretty happy,1972,49,female,married,high school,average,good,0.8893
pretty happy,1972,52,female,married,lt high school,average,good,1.3339
pretty happy,1972,40,male,married,lt high school,average,excellent,1.7786
pretty happy,1972,48,male,married,high school,above average,good,2.2232
pretty happy,1972,47,female,married,lt high school,far above average,fair,1.3339
very happy,1972,31,male,married,high school,above average,excellent,0.8893
pretty happy,1972,21,male,never married,high school,average,good,1.3339
not too happy,1972,84,female,widowed,lt high school,below average,poor,0.4446
pretty happy,1972,61,female,widowed,lt high school,below average,fair,0.8893
pretty happy,1972,46,female,separated,high school,average,good,0.4446
not too happy,1972,39,female,separated,bachelor,below average,good,1.3339
pretty happy,1972,64,female,divorced,lt high school,below average,good,0.8893
pretty happy,1972,77,male,married,lt high school,below average,poor,0.8893
pretty happy,1972,25,male,never married,high school,above average,excellent,1.7786
pretty happy,1972,53,male,separated,lt high school,below average,good,0.4446
pretty happy,1972,52,male,married,lt high school,average,good,0.8893
pretty happy,1972,71,male,never married,lt high school,below average,fair,0.4446
very happy,1972,52,male,married,lt high school,average,good,1.3339
very happy,1972,57,male,married,lt high school,far below average,good,0.8893
very happy,1972,69,female,married,lt high school,average,good,0.8893
pretty happy,1972,74,female,married,lt high school,far above average,fair,0.8893
pretty happy,1972,58,female,married,high school,average,fair,0.8893
very happy,1972,23,female,married,high school,average,good,0.8893
very happy,1972,61,female,married,lt high school,far below average,fair,0.8893
pretty happy,1972,60,female,widowed,lt high school,below average,fair,0.8893
pretty happy,1972,36,female,married,lt high school,average,good,0.8893
pretty happy,1972,58,male,married,graduate,average,good,0.8893
pretty happy,1972,28,male,married,lt high school,below average,good,0.8893
not too happy,1972,29,male,married,lt high school,below average,good,0.8893
very happy,1972,25,male,married,lt high school,average,good,0.8893
pretty happy,1972,57,male,never married,high school,above average,fair,1.3339
very happy,1972,26,female,married,high school,average,excellent,1.7786
pretty happy,1972,55,male,married,lt high school,average,good,1.3339
very happy,1972,29,female,never married,bachelor,average,good,0.4446
very happy,1972,68,female,married,lt high school,below average,good,1.3339
very happy,1972,18,female,never married,high school,average,good,0.8893
pretty happy,1972,49,male,married,lt high school,average,good,1.3339
very happy,1972,64,male,married,high school,average,fair,0.8893
pretty happy,1972,38,male,married,high school,average,good,0.8893
pretty happy,1972,30,male,married,lt high school,average,excellent,0.8893
pretty happy,1972,56,female,widowed,lt high school,below average,fair,1.3339
pretty happy,1972,20,female,married,high school,average,fair,1.3339
pretty happy,1972,19,male,never married,high school,average,good,1.3339
very happy,1972,50,female,married,lt high school,average,fair,0.8893
very happy,1972,38,male,married,high school,average,good,0.8893
pretty happy,1972,64,female,married,high school,far below average,good,0.8893
not too happy,1972,74,female,married,lt high school,below average,fair,0.8893
pretty happy,1972,75,female,widowed,high school,average,good,0.4446
not too happy,1972,22,male,never married,high school,above average,fair,1.3339
NA,1972,75,male,widowed,lt high school,NA,fair,0.4446
pretty happy,1972,23,female,never married,bachelor,average,good,0.4446
pretty happy,1972,79,female,widowed,high school,average,fair,0.4446
pretty happy,1972,60,male,married,lt high school,average,good,0.8893
pretty happy,1972,26,male,married,high school,average,good,1.3339
very happy,1972,63,male,married,high school,below average,fair,0.8893
pretty happy,1972,63,female,married,lt high school,average,good,0.8893
very happy,1972,34,female,married,high school,average,excellent,0.8893
very happy,1972,33,male,married,lt high school,below average,fair,1.3339
pretty happy,1972,53,male,married,high school,far above average,good,0.8893
very happy,1972,78,male,married,high school,above average,excellent,0.8893
pretty happy,1972,22,female,married,lt high school,average,fair,0.8893
pretty happy,1972,32,male,never married,lt high school,average,excellent,1.3339
pretty happy,1972,27,male,never married,high school,above average,good,1.3339
pretty happy,1972,35,female,married,high school,average,good,0.8893
pretty happy,1972,39,female,married,high school,average,good,0.8893
pretty happy,1972,24,female,married,junior college,average,good,0.8893
pretty happy,1972,22,female,never married,high school,average,excellent,1.7786
pretty happy,1972,28,male,married,high school,average,good,0.8893
pretty happy,1972,57,male,married,high school,average,fair,1.3339
very happy,1972,48,male,married,high school,average,excellent,0.8893
pretty happy,1972,26,male,married,high school,below average,good,1.7786
pretty happy,1972,50,female,widowed,lt high school,average,good,0.4446
pretty happy,1972,32,female,married,high school,below average,good,0.8893
not too happy,1972,56,female,married,lt high school,average,poor,1.3339
pretty happy,1972,26,male,never married,high school,average,excellent,1.3339
pretty happy,1972,30,female,married,high school,far below average,excellent,0.8893
not too happy,1972,83,male,widowed,lt high school,average,good,0.4446
pretty happy,1972,26,female,divorced,high school,below average,poor,0.4446
pretty happy,1972,20,male,never married,lt high school,below average,excellent,1.7786
very happy,1972,41,male,married,lt high school,far below average,excellent,0.8893
not too happy,1972,56,female,married,lt high school,average,poor,0.8893
pretty happy,1972,83,female,married,lt high school,average,poor,1.3339
very happy,1972,27,female,married,lt high school,below average,fair,1.3339
not too happy,1972,21,female,married,lt high school,below average,fair,0.8893
very happy,1972,19,male,never married,high school,average,excellent,1.3339
very happy,1972,41,male,married,high school,average,fair,0.8893
very happy,1972,35,male,married,high school,average,good,0.8893
pretty happy,1972,57,female,married,lt high school,average,good,0.8893
pretty happy,1972,42,female,married,high school,average,good,1.3339
very happy,1972,54,female,married,lt high school,average,good,0.8893
pretty happy,1972,24,female,married,high school,average,good,0.8893
very happy,1972,62,male,married,lt high school,far below average,good,1.3339
pretty happy,1972,39,male,married,lt high school,average,fair,0.8893
very happy,1972,24,male,married,NA,average,excellent,0.8893
very happy,1972,66,female,never married,high school,average,good,0.8893
pretty happy,1972,55,male,married,high school,average,good,1.3339
pretty happy,1972,25,male,never married,high school,average,good,1.7786
pretty happy,1972,61,female,widowed,high school,average,good,0.4446
